pn;nInstances;nResources;time;nRuns;median;std;bestgap;initialgap
a42g11XOR;20;5;180;2;243.5;2.1213;2.10;1.04
a42g11XOR;20;7;45;2;348.5;6.3640;0.00;-12.44
a42g11XOR;20;7;60;2;326.0;12.7279;0.00;-18.09
a42g11XOR;20;7;90;2;308.0;0.0000;0.00;-22.61
a42g11XOR;20;7;180;2;317.0;0.0000;0.00;-20.35
a42g11XOR;20;12;45;2;209.0;0.0000;1.70;3.98
a42g11XOR;20;12;60;2;206.5;3.5355;1.98;3.77
a42g11XOR;20;12;90;2;202.5;2.1213;1.50;1.50
a42g11XOR;20;12;180;2;199.5;0.7071;0.25;0.25
a42g11XOR;25;3;45;2;761.0;9.8995;13.24;12.49
a42g11XOR;25;3;60;2;763.0;0.0000;15.17;16.13
a42g11XOR;25;3;90;2;754.0;1.4142;15.11;16.36
a42g11XOR;25;3;180;2;739.0;1.4142;16.29;16.56
a42g11XOR;25;5;45;2;420.5;6.3640;36.53;35.43
a42g11XOR;25;5;60;2;396.0;22.6274;28.99;25.52
a42g11XOR;25;5;90;2;366.5;16.2635;21.36;22.17
a42g11XOR;25;5;180;2;335.0;4.2426;8.41;13.56
a42g11XOR;25;7;45;2;439.0;12.7279;0.00;-10.95
a42g11XOR;25;7;60;2;441.5;12.0208;0.57;-10.45
a42g11XOR;25;7;90;2;426.5;7.7782;0.24;-13.49
a42g11XOR;25;7;180;2;405.5;21.9203;0.62;-17.75
a42g11XOR;25;12;45;2;270.0;1.4142;6.72;7.78
a42g11XOR;25;12;60;2;266.5;0.7071;5.75;6.39
a42g11XOR;25;12;90;2;268.5;3.5355;8.70;5.92
a42g11XOR;25;12;180;2;256.5;9.1924;4.27;4.06
